Country name,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption
Norway,2015,4.699,7.718,0.684,77.73,0.592,0.198,0.326
Norway,2016,4.85,7.824,0.793,69.55,1.0,,0.625
Norway,2017,4.684,7.889,0.77,71.66,0.743,0.361,0.203
Norway,2018,4.752,7.924,0.758,58.66,0.71,-0.107,0.624
Norway,2019,5.068,7.957,0.667,58.01,0.689,0.251,0.436
Norway,2020,4.679,7.964,0.904,62.01,0.582,-0.132,
Norway,2021,4.482,7.977,0.724,68.85,1.0,0.276,0.37
Norway,2022,4.841,8.018,0.71,57.37,0.734,-0.14,0.894
Norway,2023,4.435,7.924,0.768,63.18,0.775,0.141,0.557
Sweden,2015,5.842,7.905,0.816,66.77,0.613,0.004,0.759
Sweden,2016,5.86,7.926,1.0,83.47,0.531,0.145,1.0
Sweden,2017,5.889,7.991,0.775,60.67,0.718,0.017,
Sweden,2018,5.724,7.978,0.656,64.6,0.616,0.073,0.808
Sweden,2019,5.792,8.046,0.843,65.47,0.731,0.054,0.752
Sweden,2020,5.595,8.107,0.804,59.01,0.677,-0.002,0.632
Sweden,2021,5.615,8.117,0.706,46.82,0.64,-0.201,0.592
Sweden,2022,5.805,8.113,0.639,58.9,1.0,0.148,0.601
Sweden,2023,5.781,8.223,0.956,66.12,0.803,0.193,0.477
New Zealand,2015,6.471,10.742,0.812,83.73,0.622,0.082,0.567
New Zealand,2016,6.684,10.817,0.741,58.43,0.504,-0.039,0.707
New Zealand,2017,6.684,10.734,0.755,65.25,0.826,0.011,0.55
New Zealand,2018,6.508,10.747,0.994,47.49,0.699,0.133,0.525
New Zealand,2019,6.676,10.822,0.799,64.34,0.468,0.078,0.429
New Zealand,2020,6.755,10.856,0.877,72.17,0.676,0.239,0.835
New Zealand,2021,7.004,10.934,0.783,63.61,0.874,-0.105,0.642
New Zealand,2022,6.851,10.866,0.591,57.88,0.747,0.233,0.798
New Zealand,2023,6.952,10.895,0.7,68.22,0.713,0.191,0.95
Austria,2015,5.813,10.152,0.656,75.44,0.784,-0.128,0.731
Austria,2016,6.078,10.226,0.719,62.3,0.793,0.196,0.836
Austria,2017,6.082,10.324,0.963,70.29,0.52,0.08,0.663
Austria,2018,5.901,10.33,0.757,57.59,0.967,0.2,0.644
Austria,2019,6.069,10.358,0.841,45.34,0.649,0.032,0.403
Austria,2020,5.992,10.384,0.742,55.92,1.0,0.032,0.353
Austria,2021,6.007,10.366,0.715,71.32,0.677,-0.038,0.636
Austria,2022,6.081,10.333,0.84,64.25,1.0,-0.006,0.877
Austria,2023,5.993,10.378,0.887,72.15,0.94,0.149,0.48
Canada,2015,6.861,8.759,0.85,,0.978,0.125,0.303
Canada,2016,6.673,8.637,0.991,58.22,0.935,0.188,0.943
Canada,2017,6.958,8.724,0.776,65.68,0.776,0.02,0.593
Canada,2018,7.054,8.664,0.831,57.74,0.778,0.226,0.588
Canada,2019,6.977,8.69,0.933,60.17,0.843,0.127,0.083
Canada,2020,6.817,8.8,0.986,67.3,0.789,-0.112,0.886
Canada,2021,7.148,8.811,0.774,52.05,0.882,0.505,0.743
Canada,2022,7.106,8.856,0.682,75.69,0.565,0.068,0.656
Canada,2023,7.083,8.87,0.846,58.91,0.557,0.109,0.458
Brazil,2015,5.698,11.079,0.638,51.92,0.777,0.161,1.0
Brazil,2016,5.613,11.158,0.91,63.27,0.701,0.356,0.532
Brazil,2017,5.689,11.146,0.84,,0.544,-0.048,0.707
Brazil,2018,5.933,11.2,0.875,69.57,0.483,0.053,0.683
Brazil,2019,5.83,11.145,0.766,71.02,0.987,-0.229,1.0
Brazil,2020,5.799,11.32,0.948,72.86,0.772,-0.074,0.725
Brazil,2021,5.884,11.166,1.0,70.66,1.0,-0.037,0.894
Brazil,2022,6.197,11.39,0.797,55.38,0.723,-0.23,0.26
Brazil,2023,6.052,11.282,0.78,64.13,1.0,0.295,0.591
Kenya,2015,4.272,8.683,0.651,,0.552,0.118,0.927
Kenya,2016,4.208,8.669,0.692,55.8,0.565,0.318,1.0
Kenya,2017,4.342,8.642,0.885,,0.87,0.144,0.656
Kenya,2018,4.342,8.669,0.751,51.23,0.684,-0.113,0.571
Kenya,2019,4.14,8.723,0.854,53.64,0.628,-0.041,
Kenya,2020,4.445,8.78,0.758,76.72,0.523,0.325,0.469
Kenya,2021,3.892,8.89,0.989,56.74,0.775,0.068,0.62
Kenya,2022,4.033,8.744,0.856,66.78,0.93,0.112,1.0
Kenya,2023,4.111,8.811,0.57,54.97,0.949,-0.041,0.706
India,2015,5.847,11.15,0.742,71.03,0.848,0.013,0.419
India,2016,5.954,11.19,0.923,85.0,0.876,0.095,0.566
India,2017,5.847,11.17,0.68,61.84,0.686,0.212,0.52
India,2018,5.957,11.174,0.997,69.06,1.0,0.22,0.898
India,2019,5.981,11.291,1.0,55.21,0.926,0.355,0.684
India,2020,6.133,11.339,0.72,68.34,0.617,-0.004,0.474
India,2021,6.054,11.303,0.856,53.39,1.0,0.278,0.749
India,2022,6.058,11.311,0.867,68.37,0.492,0.214,1.0
India,2023,5.906,11.386,0.845,64.08,0.961,-0.082,0.633
Japan,2015,5.461,8.028,0.745,77.71,0.61,0.235,0.343
Japan,2016,5.632,8.037,0.481,64.95,0.585,0.031,0.916
Japan,2017,5.448,8.008,0.978,65.95,0.988,0.15,
Japan,2018,5.614,8.146,0.916,65.01,0.758,0.083,0.481
Japan,2019,5.897,8.103,0.66,61.08,0.862,,0.572
Japan,2020,5.613,8.124,0.594,54.29,0.873,0.026,0.677
Japan,2021,5.882,8.176,0.803,82.5,0.853,0.045,0.751
Japan,2022,5.819,8.118,0.809,,0.447,0.073,0.542
Japan,2023,5.751,8.098,0.756,64.67,0.766,-0.075,0.73
Mexico,2015,4.341,8.455,0.737,73.83,0.691,0.054,
Mexico,2016,4.295,8.398,0.698,56.72,0.583,-0.032,0.428
Mexico,2017,4.188,8.485,0.815,68.29,0.638,0.12,0.936
Mexico,2018,4.176,8.518,0.792,57.5,0.792,,0.432
Mexico,2019,4.097,8.628,0.739,66.54,0.593,-0.026,0.495
Mexico,2020,4.369,8.57,0.736,60.49,0.725,0.198,0.638
Mexico,2021,4.34,8.621,0.974,67.21,0.841,-0.117,0.575
Mexico,2022,4.07,8.619,0.542,72.04,0.692,,
Mexico,2023,4.037,8.671,0.647,57.55,0.794,0.122,0.525
Nigeria,2015,6.032,10.662,0.673,77.19,0.877,0.032,0.757
Nigeria,2016,5.891,10.537,0.645,61.72,0.701,0.023,0.62
Nigeria,2017,5.839,10.668,0.63,59.71,0.688,-0.073,0.326
Nigeria,2018,6.003,10.663,0.871,69.51,0.601,-0.019,0.416
Nigeria,2019,6.207,10.581,0.949,61.12,0.632,0.151,0.807
Nigeria,2020,6.222,10.756,0.816,74.84,0.937,0.085,0.888
Nigeria,2021,6.229,10.728,0.689,62.69,0.867,-0.097,0.73
Nigeria,2022,6.28,10.757,0.535,64.17,0.847,-0.014,0.618
Nigeria,2023,5.981,10.797,0.721,71.97,0.474,0.204,0.553
